acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,valence,year
0.247,"['DaBaby', 'Roddy Ricch']",0.746,181733,0.69,1,7ytR5pFWmSjzHJIeQkgog4,0,11,0.101,-7.956,1,ROCKSTAR (feat. Roddy Ricch),91,4/17/20,0.164,89.977,0.497,2020
0.584,['Conan Gray'],0.357,198040,0.425,0,4xqrdfXkTW4T0RauPLv3WA,0,5,0.322,-7.301,1,Heather,91,3/20/20,0.0333,102.078,0.27,2020
0.0676,"['Shawn Mendes', 'Justin Bieber']",0.652,178994,0.383,0,2Z8yfpFX0ZMavHkcIeHiO1,0,2,0.0828,-7.076,0,Monster (Shawn Mendes & Justin Bieber),91,11/20/20,0.0516,145.765,0.549,2020
0.00691,['BTS'],0.566,207481,0.716,0,249gnXrbfmV8NG6jTEMSwD,0,1,0.37,-5.733,1,Life Goes On,91,11/20/20,0.0424,81.068,0.45,2020
0.0112,['BTS'],0.746,199054,0.765,0,4saklk6nie3yiGePpBwUoc,0,6,0.0936,-4.41,0,Dynamite,91,11/20/20,0.0993,114.044,0.737,2020
0.401,"['Bad Bunny', 'Jhay Cortez']",0.731,205090,0.573,1,4MzXwWMhyBbmu6hOcLVD49,5.22E-05,4,0.113,-10.059,0,DÁKITI,91,11/27/20,0.0544,109.928,0.145,2020
0.168,"['Joel Corry', 'MNEK']",0.734,166028,0.874,0,6cx06DFPPHchuUAcTxznu9,1.14E-05,8,0.0489,-3.158,1,Head & Heart (feat. MNEK),91,7/3/20,0.0662,122.953,0.905,2020
0.18,"['Manuel Turizo', 'Rauw Alejandro', 'Myke Towers']",0.736,216107,0.632,0,7ndTONDDRFGiPnnhOzOXxq,0,11,0.349,-4.939,0,La Nota,91,10/8/20,0.0648,92.03,0.503,2020
0.122,"['Myke Towers', 'Juhn']",0.713,232853,0.617,0,1xK1Gg9SxG8fy2Ya373oqb,0,8,0.0962,-4.637,1,Bandido,91,12/10/20,0.0887,168.021,0.682,2020
0.00883,"['Dua Lipa', 'DaBaby']",0.702,203064,0.825,0,463CkQjx2Zk1yXoBuierM9,0,6,0.0674,-3.787,0,Levitating (feat. DaBaby),90,10/1/20,0.0601,102.977,0.915,2020
0.256,"['Internet Money', 'Gunna', 'Don Toliver', 'NAV']",0.799,195429,0.66,1,02kDW379Yfd5PzW5A6vuGt,0,1,0.111,-6.153,0,Lemonade,90,8/14/20,0.079,140.04,0.471,2020
0.196,"['Justin Bieber', 'Chance the Rapper']",0.673,212093,0.704,0,5u1n1kITHCxxp8twBcZxWy,0,6,0.0898,-8.056,1,Holy (feat. Chance The Rapper),90,9/18/20,0.36,86.919,0.372,2020
0.698,['Ed Sheeran'],0.641,185487,0.324,0,0E4Y1XIbs8GrAT1YqVy6dq,0,11,0.328,-5.851,1,Afterglow,90,12/21/20,0.0299,110.184,0.273,2020
0.234,['Bad Bunny'],0.811,130014,0.637,1,5RubKOuDoPn5Kj5TLVxSxY,0.000572,10,0.118,-4.835,0,TE MUDASTE,90,11/27/20,0.0591,92.025,0.471,2020
0.0689,"['MEDUZA', 'Dermot Kennedy']",0.632,167903,0.595,0,6ft4hAq6yde8jPZY2i5zLr,0,8,0.209,-7.644,0,Paradise (feat. Dermot Kennedy),90,10/30/20,0.0401,124.114,0.435,2020
